Ref,Status,Location,Description,Created,Target,Type,To Package,Status Changed,Association,OverDue,Images,Comments,Documents,Priority,Cause,project,Report Status,Task Group
T1.16960220,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"It was noted that transfer beam along GL 4, D-E has been poured, with no provision left for the reinforcement which has to tie into the low level slab. Contractor to propose remedial detail to tie into the beam for agreement by BMCE.",24/09/2019,43738,BCAR - Structural,,09/03/2020,FormAnswer,FALSE,TRUE,TRUE,TRUE,,,1328,Closed,Design Team
T1.16960219,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,The additional reinforcement in the top of the slab along GL 4 has been cut at the adjacent service riser for reason noted above. Contractor to install splice bars to ensure that top reinforcement is installed as detailed.,24/09/2019,43738,BCAR - Structural,,27/04/2020,FormAnswer,FALSE,TRUE,TRUE,TRUE,,,1328,Closed,Design Team
T1.16960218,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Box-outs have been left around service risers for cover plate installation. The reinforcement has not been left running through the box-out as agreed. Contractor to install reinforcement to the edge of the slab as agreed.,24/09/2019,43738,BCAR - Structural,,28/01/2020,FormAnswer,FALSE,TRUE,TRUE,TRUE,,,1328,Closed,Design Team
T1.16960217,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,???Recesses are being formed in the slab at pod locations. Contractor to ensure that minimum cover to reinforcement is achieved in all areas. Current cover looks inadequate.,24/09/2019,43738,BCAR - Structural,,28/01/2020,FormAnswer,FALSE,FALSE,TRUE,TRUE,,,1328,Closed,Design Team
T1.16960216,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,There is hardened concrete on the top reinforcement of the transfer beams (remaining after the lower section pour). All concrete to be removed to ensure proper bond of the concrete to rebar.,24/09/2019,43738,BCAR - Structural,,27/04/2020,FormAnswer,FALSE,TRUE,TRUE,,,,1328,Closed,Design Team
T1.16960215,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,"In general, the lap on the mesh is inadequate. Typically measuring aound 350 ??? 400mm. Contractor to ensure that minimum lap is achieved in all areas.",24/09/2019,43738,BCAR - Structural,,28/01/2020,FormAnswer,FALSE,TRUE,TRUE,,,,1328,Closed,Design Team
T1.16960214,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Noted that the first section of insitu slab from GL 9 ??? 12 has already been poured. It was noted that the cover to the slab at the pod recess looks low (rebar profile can be seen in the concrete). To be reviewed again by BMCE to determine if any remedial measures required.,24/09/2019,43738,BCAR - Structural,,28/01/2020,FormAnswer,FALSE,FALSE,TRUE,,,,1328,Closed,Design Team
T84104.321,Closed,JPC Project Management>EHS Management>01 Inspections,No dedicated access route ,23/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.320,Closed,JPC Project Management>EHS Management>01 Inspections,Unsuitable ground.,23/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Temporary Works,1328,Closed,Safety
T84104.319,Closed,JPC Project Management>EHS Management>01 Inspections,Box out step,23/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.318,Closed,JPC Project Management>EHS Management>01 Inspections,Missing rebar caps.,23/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T84104.317,Closed,JPC Project Management>EHS Management>01 Inspections,Trailing lead,23/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Lead Management,1328,Closed,Safety
T84104.316,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good work bench.,23/09/2019,,Safety Notice (Green) - Good Observation,Concrete - Formwork,23/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Best Practice,JPC - Safety - Plant & Equipment,1328,Closed,Safety
T84104.315,Closed,JPC Project Management>EHS Management>01 Inspections,Falling materials from height.,23/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T84104.314,Closed,JPC Project Management>EHS Management>01 Inspections,Fall from height. ,23/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T84104.313,Closed,JPC Project Management>EHS Management>01 Inspections,Inconsistent rising on steps.,23/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.312,Closed,JPC Project Management>EHS Management>01 Inspections,WAH,23/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T84104.311,Closed,JPC Project Management>EHS Management>01 Inspections,Inconsistent going on steps.,23/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.310,Closed,JPC Project Management>EHS Management>01 Inspections,Public access,23/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.309,Closed,JPC Project Management>EHS Management>01 Inspections,Accurate completion of Daily Safe Start,23/09/2019,,Safety Notice (Amber) - General Issue,Groundworks,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Documentation,1328,Closed,Safety
T76201.315,Closed,1328 - Townsend St,Area by generator in block 2 to be cleared for bulk excavation to begin.,20/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T76201.314,Closed,1328 - Townsend St,Some loose materials up on deck. Need to be secured or removed before weekend.,20/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T76201.313,Closed,1328 - Townsend St,Very isolated areas on site that require clean up. Overall housekeeping standards are excellent this week.,20/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T76201.312,Closed,1328 - Townsend St,Toeboards not installed as part of handrail system on block 3 first floor deck in order to facilitate edge trim installation for screed pour.,20/09/2019,,Safety Notice (Amber) - General Issue,Scaffolding,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T74906.49,Closed,JPC Project Management>EHS Management>01 Inspections,Lifting equipment needs inspection ,20/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Lifting / Slinging,1328,Closed,Safety
T76201.311,Closed,1328 - Townsend St,Material storage in isolated areas require attention. Access routes should be maintained where possible.,20/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T76201.310,Closed,1328 - Townsend St,Underfoot Conditions could be improved along grid line A on south elevation,20/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T76201.309,EHS Good Observation,1328 - Townsend St,Very high level of general housekeeping noted on site this week by RAPS. A lot of material on site consolidated or removed this week.,20/09/2019,,Safety Notice (Green) - Good Observation,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Best Practice,JPC - Safety - House Keeping,1328,Closed,Safety
T74906.48,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good housekeeping ,20/09/2019,,Safety Notice (Green) - Good Observation,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T76201.308,Closed,1328 - Townsend St,Waste skips must not be overfilled. Protruding rebar can lead to serious hazard during lifting operations.,20/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T76201.307,EHS Good Observation,1328 - Townsend St,Good use of task specific signage and physical barriers by RAPS for exclusion zones on site,20/09/2019,,Safety Notice (Green) - Good Observation,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Best Practice,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T74906.47,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good work practice all scaffolder tied off,20/09/2019,,Safety Notice (Green) - Good Observation,Scaffolding,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Scaffolding,1328,Closed,Safety
T76201.306,EHS Good Observation,1328 - Townsend St,High standard of Daily Safe Starts noted on site at present. Works reflect what is taking place in the field and daily huddles occurring on site each morning.,20/09/2019,,Safety Notice (Green) - Good Observation,Temporary Electrics,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Best Practice,JPC - Safety - Documentation,1328,Closed,Safety
T76201.305,EHS Good Observation,1328 - Townsend St,Spotter in place for plant on site in the yellow zone. Thumbs Up system also in place.,20/09/2019,,Safety Notice (Green) - Good Observation,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Best Practice,JPC - Safety - Plant & People Interface,1328,Closed,Safety
T74906.46,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good work practice ,20/09/2019,,Safety Notice (Green) - Good Observation,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Quality - Workmanship,1328,Closed,Safety
T74906.45,Closed,JPC Project Management>EHS Management>01 Inspections,Material left in access walkway into block 1,20/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,04/10/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.308,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good access ,19/09/2019,,Safety Notice (Green) - Good Observation,Main Contractor,19/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.307,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good access,19/09/2019,,Safety Notice (Green) - Good Observation,Concrete - Formwork,19/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.306,Closed,JPC Project Management>EHS Management>01 Inspections,Hose,19/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Quality - Materials,1328,Closed,Safety
T84104.305,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good signage,19/09/2019,,Safety Notice (Green) - Good Observation,Main Contractor,19/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Quality - Information,1328,Closed,Safety
T84104.304,Closed,JPC Project Management>EHS Management>01 Inspections,Barriers required and mushrooms,19/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.303,Closed,JPC Project Management>EHS Management>01 Inspections,Housekeeping ,19/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Quality - Materials,1328,Closed,Safety
T84104.302,Closed,JPC Project Management>EHS Management>01 Inspections,Steps required,19/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.301,Closed,JPC Project Management>EHS Management>01 Inspections,Steps required,19/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.300,Closed,JPC Project Management>EHS Management>01 Inspections,Tie barriers to props,19/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.299,Closed,JPC Project Management>EHS Management>01 Inspections,Access to fire station,19/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.298,Closed,JPC Project Management>EHS Management>01 Inspections,Clean up required,19/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Closed,Safety
T84104.297,Closed,JPC Project Management>Site Management,Pedestrian walkways outside site boundary be kept clean,18/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T84104.296,Closed,JPC Project Management>Site Management,Access to be reviewed operatives taking short cuts,18/09/2019,,Safety Notice (Amber) - General Issue,Scaffolding,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.295,Closed,JPC Project Management>Site Management,Double handrail needed,18/09/2019,,Safety Notice (Amber) - General Issue,Scaffolding,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T84104.294,Closed,JPC Project Management>Site Management,Step in deck to be highlighted,18/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.293,Closed,JPC Project Management>Site Management,Access impeded with rebar. ,18/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.292,Closed,JPC Project Management>Site Management,Lead management to be reviewed ,18/09/2019,,Safety Notice (Amber) - General Issue,Temporary Electrics,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Temporary Electrics,1328,Closed,Safety
T84104.291,EHS Good Observation,JPC Project Management>Site Management,Housekeeping much improved ,18/09/2019,,Safety Notice (Green) - Good Observation,Concrete - Formwork,18/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Closed,Safety
T84104.290,Closed,JPC Project Management>Site Management,Up and overs or steps needed,18/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.289,Closed,JPC Project Management>Site Management,Signage needed scaffold not in use??,18/09/2019,,Safety Notice (Amber) - General Issue,Scaffolding,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T84104.288,Closed,JPC Project Management>Site Management,No barriers or signage in place ,18/09/2019,,Safety Notice (Amber) - General Issue,Scaffolding,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T84104.287,Closed,JPC Project Management>Site Management,Handrail required at end of walkway,18/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.286,Closed,JPC Project Management>Site Management,Opes to be protected,18/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.285,Closed,JPC Project Management>Site Management,Tower to be inspected and tag updated if in use,18/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T84104.284,EHS Good Observation,JPC Project Management>Site Management,Good clear walkways,18/09/2019,,Safety Notice (Green) - Good Observation,Main Contractor,18/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T84104.283,EHS Good Observation,JPC Project Management>Site Management,Good use of barriers to separate men and machinery,18/09/2019,,Safety Notice (Green) - Good Observation,Groundworks,18/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Plant & People Interface,1328,Closed,Safety
T1.16886390,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,It was noted that the radon / waterproof membrane at the joint between the block 3 and block 4 slabs has been laid continuous below the two slabs. Contractor to review with MCA and confirm that the detail as installed is adequate. ,17/09/2019,43731,BCAR - Structural,,28/01/2020,FormAnswer,FALSE,TRUE,TRUE,,,,1328,Closed,Design Team
T1.16886389,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,The slab reinforcement to the north of the pile cap at GL C 10 has been cut. Contractor to lap in new reinforcement to close the gap at the edge of the slab.,17/09/2019,43731,BCAR - Structural,,27/04/2020,FormAnswer,FALSE,TRUE,TRUE,,,,1328,Closed,Design Team
T1.16886388,Open / Ongoing Works,QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,"Along the edge of the staircore base along GL 11, the cori-board at the side of the base is impacting on the cover to the slab reinforcement. Board to be trimmed down to achieve the correct cover",17/09/2019,43731,BCAR - Structural,,28/01/2020,FormAnswer,TRUE,FALSE,TRUE,,,,1328,Open,Design Team
T1.16886387,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,"At pile cap at GL A 11 approx, the cori-board around the pilecap is impacting on the cover to the bottom reinforcement. Board to be trimmed down to achieve correct cover.",17/09/2019,43731,BCAR - Structural,,28/01/2020,FormAnswer,FALSE,TRUE,TRUE,,,,1328,Closed,Design Team
T1.16886386,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,There is an issue with the levels of the reinforcement in the area at GL A 11-12. Contractor to verify the correct level of the reinforcement. Area to be blown out also.,17/09/2019,43731,BCAR - Structural,,28/01/2020,FormAnswer,FALSE,TRUE,TRUE,,,,1328,Closed,Design Team
T84104.282,Closed JPC Reviewed,JPC Project Management>EHS Management>01 Inspections,Cover placed over rebar,17/09/2019,,Quality - Good Observation,Main Contractor,17/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Quality
T84104.281,Closed,JPC Project Management>EHS Management>01 Inspections,No exclusion zone after excavator,17/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,17/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T84104.280,Closed,JPC Project Management>EHS Management>01 Inspections,Mushroom caps on rebar,17/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,17/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T84104.279,Closed,JPC Project Management>EHS Management>01 Inspections,Housekeeping ,17/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T84104.278,Closed,JPC Project Management>EHS Management>01 Inspections,Access route,17/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T84104.277,Closed JPC Reviewed,JPC Project Management>EHS Management>01 Inspections,Harnesses attached close to access point.,17/09/2019,,Quality - Good Observation,Concrete - Formwork,17/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Quality
T84104.276,Closed,JPC Project Management>EHS Management>01 Inspections,Mushroom caps not on rebar,17/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T84104.275,Closed,JPC Project Management>EHS Management>01 Inspections,No edge protection installed previously.,17/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,17/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T84104.274,Closed JPC Reviewed,JPC Project Management>EHS Management>01 Inspections,Clear access walkway.,17/09/2019,,Quality - Good Observation,Main Contractor,17/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Quality
T84104.273,Closed,JPC Project Management>EHS Management>01 Inspections,Access blocked up with rebar cages.,17/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,17/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.16847464,Closed,1328 - Townsend St,Trailing leads. Leads to be pinned at high level to avoid tripping hazard ,14/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - Lead Management,1328,Closed,Safety
T1.16847463,Closed,1328 - Townsend St,access to raps storage very poor ,14/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - Access,1328,Closed,Safety
T1.16847462,Closed,1328 - Townsend St,"Area outside ESB substation poor, poor access to to core 02 and raps spacer, poor underfoot condition, housekeeping and sling not returned to sling station. ",14/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - House Keeping,1328,Closed,Safety
T1.16847461,EHS Good Observation,1328 - Townsend St,"Housekeeping noted at poor in block 04, Block four was tidied within hours. Good work from RAPS",14/09/2019,,Safety Notice (Green) - Good Observation,Concrete - Formwork,14/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - House Keeping,1328,Closed,Safety
T1.16847460,Closed,1328 - Townsend St,Access route underfoot conditions are deteriorating daily. JPC to review. ,14/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - Access,1328,Closed,Safety
T1.16847459,Closed,1328 - Townsend St,Number of operatives noted not wearing their glasses. Supervisors across the project should address this with operatives. to ensure standards do not slip. operative were reminded to wear glasses at time of inspection.,14/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,FALSE,,,,JPC - Safety - PPE,1328,Closed,Safety
T1.16847458,Closed,1328 - Townsend St,"Area Congested with materials, no clear walk way. trip or fall in this area has potential to lead to serious injure with rebar.  ",14/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,14/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - Access,1328,Closed,Safety
T1.16847457,Closed,1328 - Townsend St,Pedestrian walkway to be install along pit lane. ,14/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - Plant & People Interface,1328,Closed,Safety
T1.16847456,Closed,1328 - Townsend St,"Access steps over wall of block 04 basement left open to drop over wall. 
operatives immediately stopped me when I was spotted reviewing the area and a barrier was installed at time of inspection. operatives were in the process of installing ladders and left the are momentarily. ",14/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,14/09/2019,FormAnswer,FALSE,TRUE,,,,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T76201.304,Closed,1328 - Townsend St,"Sequencing of works between precast and concrete subcontractors to be reviewed. Air horn system in place on site, but some operatives observed not looking up during overhead lifts.",13/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Lifting / Slinging,1328,Closed,Safety
T76201.303,Closed,1328 - Townsend St,Access route to be reestablished along pit lane.,13/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T76201.302,Closed,1328 - Townsend St,Trip hazard being caused by exposed steel in Area 2. Operatives in area instructed to cover item at time of inspection.,13/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T76201.301,Closed JPC Reviewed,1328 - Townsend St,Good use of rebar caps being used in Area 5,13/09/2019,,Quality - Good Observation,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Closed,Quality
T76201.300,Closed,1328 - Townsend St,General housekeeping in Block 4 requires attention.,13/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T76201.299,Closed,1328 - Townsend St,Access within Area 4 to be improved. Access in Rebar storage zones should be considered.,13/09/2019,,Safety Notice (Amber) - General Issue,Main Contractor,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Access,1328,Closed,Safety
T76201.298,Closed,1328 - Townsend St,No secondary handle on Grinder. Operative instructed to replace handle at time of inspection.,13/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Plant & Equipment,1328,Closed,Safety
T76201.297,Closed,1328 - Townsend St,Rebar slings for single use only and not to be reused for any other lifting. Banksmen reminded of this on site.,13/09/2019,,Safety Notice (Amber) - General Issue,Concrete - Formwork,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Lifting / Slinging,1328,Closed,Safety
T76201.296,Closed,1328 - Townsend St,Excess stockpile to be removed off site,13/09/2019,,Safety Notice (Amber) - General Issue,Groundworks,20/09/2019,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
